,tactic_href,Overall WIN %,Overall LOSS %,Overall DRAW %,Overall POINTS PER GAME,Overall MATCHES WON,Overall MATCHES LOST,Overall MATCHES DRAW,Overall TOTAL POINTS,Overall GOAL SCORED,Overall GOAL PER MATCH,Overall GOAL CONCEDED,Overall CONCEDED PER MATCH,Overall GOAL DIFFERENCE,Subtop WIN %,Subtop LOSS %,Subtop DRAW %,Subtop POINTS PER GAME,Subtop MATCHES WON,Subtop MATCHES LOST,Subtop MATCHES DRAW,Subtop TOTAL POINTS,Subtop GOAL SCORED,Subtop GOAL PER MATCH,Subtop GOAL CONCEDED,Subtop CONCEDED PER MATCH,Subtop GOAL DIFFERENCE,Underdog WIN %,Underdog LOSS %,Underdog DRAW %,Underdog POINTS PER GAME,Underdog MATCHES WON,Underdog MATCHES LOST,Underdog MATCHES DRAW,Underdog TOTAL POINTS,Underdog GOAL SCORED,Underdog GOAL PER MATCH,Underdog GOAL CONCEDED,Underdog CONCEDED PER MATCH,Underdog GOAL DIFFERENCE,download_href,Author,Name,Formation,Game Version,Date Tested
498,https://beta.fm-base.co.uk/tactics/22.4.1/4-1-4-1-mezzala-experiment-tactic-avgposs-64-psc-34335-577158-6051,27.50,46.88,25.62,1.08,44,75,41,173,202,1.26,271,1.69,-69,43.75,28.75,27.50,1.59,35,23,22,127,121,1.51,99,1.24,22,11.25,65.00,23.75,0.57,9,52,19,46,81,1.01,172,2.15,-91,https://fm-base.co.uk/resources/6051/download?file=577158,themaiden83,4-1-4-1 Mezzala Experiment Tactic (Avg.Poss. 64% PSC 34335 🔥🔥),4-1-4-1,22.4.1,24 January 2022
499,https://beta.fm-base.co.uk/tactics/22.4.1/jose-mourinhos-porto-4-3-1-2-567412-5786,28.13,48.13,23.75,1.08,45,77,38,173,235,1.47,299,1.87,-64,38.75,31.25,30.00,1.46,31,25,24,117,131,1.64,107,1.34,24,17.50,65.00,17.50,0.70,14,52,14,56,104,1.30,192,2.40,-88,https://fm-base.co.uk/resources/5786/download?file=567412,msuatgunerli,Jose Mourinho's Porto 4-3-1-2,4-3-1-2,22.4.1,13 December 2021
500,https://beta.fm-base.co.uk/tactics/22.4.1/contes-tactics-a-masterclass-fm22-tactic-571898-5942,26.25,44.38,29.38,1.08,42,71,47,173,168,1.05,226,1.41,-58,32.50,36.25,31.25,1.29,26,29,25,103,99,1.24,92,1.15,7,20.00,52.50,27.50,0.88,16,42,22,70,69,0.86,134,1.68,-65,https://fm-base.co.uk/resources/5942/download?file=571898,RDF tactics,Conte's Tactics | A MASTERCLASS FM22 Tactic,5-2-2-1,22.4.1,23 December 2021
501,https://beta.fm-base.co.uk/tactics/22.4.1/tuchel-copy-paste-ucl-final-343-577682-5957,25.62,43.75,30.63,1.07,41,70,49,172,216,1.35,263,1.64,-47,35.00,32.50,32.50,1.38,28,26,26,110,130,1.63,104,1.30,26,16.25,55.00,28.75,0.78,13,44,23,62,86,1.07,159,1.99,-73,https://fm-base.co.uk/resources/5957/download?file=577682,vladpony,Tuchel Copy - Paste UCL FInal 343,5-2-2-1,22.4.1,24 January 2022
502,https://beta.fm-base.co.uk/tactics/22.4.1/5-3-2-no-st-589442-6482,26.88,46.88,26.25,1.07,43,75,42,171,158,0.99,205,1.28,-47,35.00,37.50,27.50,1.32,28,30,22,106,90,1.13,84,1.05,6,18.75,56.25,25.00,0.81,15,45,20,65,68,0.85,121,1.51,-53,https://fm-base.co.uk/resources/6482/download?file=589442,venomsocks,5-3-2 no st,5-1-2-2-0,22.4.1,31 May 2022
503,https://beta.fm-base.co.uk/tactics/22.4.1/mighty-magyars-3-2-3-2-583227-6179,31.87,51.88,16.25,1.12,51,83,26,179,365,2.28,476,2.98,-111,42.50,37.50,20.00,1.48,34,30,16,118,218,2.73,204,2.55,14,21.25,66.25,12.50,0.76,17,53,10,61,147,1.84,272,3.40,-125,https://fm-base.co.uk/resources/6179/download?file=583227,i_am_a_God,Mighty Magyars 3-2-3-2,3-2-3-2,22.4.1,15 March 2022
504,https://beta.fm-base.co.uk/tactics/22.4.1/aggressive-short-play-433-586948-6339,27.50,46.25,26.25,1.09,44,74,42,174,213,1.33,301,1.88,-88,37.50,38.75,23.75,1.36,30,31,19,109,127,1.59,125,1.56,2,17.50,53.75,28.75,0.81,14,43,23,65,86,1.07,176,2.20,-90,https://fm-base.co.uk/resources/6339/download?file=586948,netoairton,AGGRESSIVE SHORT-PLAY 433,4-3-2-1,22.4.1,18 May 2022
505,https://beta.fm-base.co.uk/tactics/22.4.1/523-no-goals-possession-574410-5988,29.38,51.25,19.38,1.07,47,82,31,172,182,1.14,286,1.79,-104,46.25,31.25,22.50,1.61,37,25,18,129,114,1.43,95,1.19,19,12.50,71.25,16.25,0.54,10,57,13,43,68,0.85,191,2.39,-123,https://fm-base.co.uk/resources/5988/download?file=574410,miikeey1998,523 No Goals Possession,5-2-2-1,22.4.1,6 January 2022
506,https://beta.fm-base.co.uk/tactics/22.4.1/4312-vertical-style-vertical-tikitaka-tactic-566165-5741,26.25,46.88,26.88,1.06,42,75,43,169,249,1.56,334,2.09,-85,27.50,42.50,30.00,1.13,22,34,24,90,126,1.57,143,1.79,-17,25.00,51.25,23.75,0.99,20,41,19,79,123,1.54,191,2.39,-68,https://fm-base.co.uk/resources/5741/download?file=566165,themaiden83,4312 VERTICAL STYLE ( Vertical TikiTaka Tactic),4-3-1-2,22.4.1,13 December 2021
507,https://beta.fm-base.co.uk/tactics/22.4.1/tiki-taka-ataka-4-1-2-3-565636-5718,28.13,50.63,21.25,1.06,45,81,34,169,210,1.31,312,1.95,-102,37.50,35.00,27.50,1.40,30,28,22,112,130,1.63,123,1.54,7,18.75,66.25,15.00,0.71,15,53,12,57,80,1.00,189,2.36,-109,https://fm-base.co.uk/resources/5718/download?file=565636,Melons,Tiki Taka Ataka 4-1-2-3,4-1-2-2-1,22.4.1,13 December 2021
508,https://beta.fm-base.co.uk/tactics/22.4.1/523-tiki-taka-588777-6454,28.75,51.88,19.38,1.06,46,83,31,169,204,1.27,319,1.99,-115,40.00,37.50,22.50,1.43,32,30,18,114,126,1.57,127,1.59,-1,17.50,66.25,16.25,0.69,14,53,13,55,78,0.97,192,2.40,-114,https://fm-base.co.uk/resources/6454/download?file=588777,petemartinuk,523 Tiki-Taka,5-2-2-1,22.4.1,18 May 2022
